vertex,deleted,colored,org_deg,color
2,49,50,49,50
3,49,49,49,49
4,49,48,49,48
5,49,47,49,47
6,49,46,49,46
7,49,45,49,45
8,49,44,49,44
9,49,43,49,43
10,49,42,49,42
11,49,41,49,41
12,49,40,49,40
13,49,39,49,39
14,49,38,49,38
15,49,37,49,37
16,49,36,49,36
17,49,35,49,35
18,49,34,49,34
19,49,33,49,33
20,49,32,49,32
21,49,31,49,31
22,49,30,49,30
23,49,29,49,29
24,49,28,49,28
25,49,27,49,27
26,49,26,49,26
27,49,25,49,25
28,49,24,49,24
29,49,23,49,23
30,49,22,49,22
31,49,21,49,21
32,49,20,49,20
33,49,19,49,19
34,49,18,49,18
35,49,17,49,17
36,49,16,49,16
37,49,15,49,15
38,49,14,49,14
39,49,13,49,13
40,49,12,49,12
41,49,11,49,11
42,49,10,49,10
43,49,9,49,9
44,49,8,49,8
45,49,7,49,7
46,49,6,49,6
47,49,5,49,5
48,49,4,49,4
49,49,3,49,3
50,49,2,49,2
1,49,1,49,1
