vertex,deleted,colored,org_deg,color
43,49,50,49,50
44,49,49,49,49
45,49,48,49,48
46,49,47,49,47
47,49,46,49,46
48,49,45,49,45
49,49,44,49,44
50,49,43,49,43
1,49,42,49,42
2,49,41,49,41
3,49,40,49,40
4,49,39,49,39
5,49,38,49,38
6,49,37,49,37
7,49,36,49,36
8,49,35,49,35
9,49,34,49,34
10,49,33,49,33
11,49,32,49,32
12,49,31,49,31
13,49,30,49,30
14,49,29,49,29
15,49,28,49,28
16,49,27,49,27
17,49,26,49,26
18,49,25,49,25
19,49,24,49,24
20,49,23,49,23
21,49,22,49,22
22,49,21,49,21
23,49,20,49,20
24,49,19,49,19
25,49,18,49,18
26,49,17,49,17
27,49,16,49,16
28,49,15,49,15
29,49,14,49,14
30,49,13,49,13
31,49,12,49,12
32,49,11,49,11
33,49,10,49,10
34,49,9,49,9
35,49,8,49,8
36,49,7,49,7
37,49,6,49,6
38,49,5,49,5
39,49,4,49,4
40,49,3,49,3
41,49,2,49,2
42,49,1,49,1
