vertex,deleted,colored,org_deg,color
50,0,50,49,50
49,1,49,49,49
48,2,48,49,48
47,3,47,49,47
46,4,46,49,46
45,5,45,49,45
44,6,44,49,44
43,7,43,49,43
42,8,42,49,42
41,9,41,49,41
40,10,40,49,40
39,11,39,49,39
38,12,38,49,38
37,13,37,49,37
36,14,36,49,36
35,15,35,49,35
34,16,34,49,34
33,17,33,49,33
32,18,32,49,32
31,19,31,49,31
30,20,30,49,30
29,21,29,49,29
28,22,28,49,28
27,23,27,49,27
26,24,26,49,26
25,25,25,49,25
24,26,24,49,24
23,27,23,49,23
22,28,22,49,22
21,29,21,49,21
20,30,20,49,20
19,31,19,49,19
18,32,18,49,18
17,33,17,49,17
16,34,16,49,16
15,35,15,49,15
14,36,14,49,14
13,37,13,49,13
12,38,12,49,12
11,39,11,49,11
10,40,10,49,10
9,41,9,49,9
8,42,8,49,8
7,43,7,49,7
6,44,6,49,6
5,45,5,49,5
4,46,4,49,4
3,47,3,49,3
2,48,2,49,2
1,49,1,49,1
