vertex,deleted,colored,org_deg,color
24,49,50,49,50
40,49,49,49,49
23,49,48,49,48
16,49,47,49,47
44,49,46,49,46
6,49,45,49,45
50,49,44,49,44
3,49,43,49,43
37,49,42,49,42
28,49,41,49,41
7,49,40,49,40
10,49,39,49,39
43,49,38,49,38
48,49,37,49,37
15,49,36,49,36
1,49,35,49,35
11,49,34,49,34
18,49,33,49,33
39,49,32,49,32
26,49,31,49,31
20,49,30,49,30
45,49,29,49,29
36,49,28,49,28
2,49,27,49,27
31,49,26,49,26
29,49,25,49,25
19,49,24,49,24
46,49,23,49,23
38,49,22,49,22
41,49,21,49,21
35,49,20,49,20
25,49,19,49,19
4,49,18,49,18
12,49,17,49,17
32,49,16,49,16
17,49,15,49,15
30,49,14,49,14
34,49,13,49,13
22,49,12,49,12
21,49,11,49,11
8,49,10,49,10
42,49,9,49,9
5,49,8,49,8
33,49,7,49,7
27,49,6,49,6
9,49,5,49,5
47,49,4,49,4
13,49,3,49,3
49,49,2,49,2
14,49,1,49,1
