vertex,deleted,colored,org_deg,color
1,49,0,49,1
2,49,0,49,2
3,49,0,49,3
4,49,0,49,4
5,49,0,49,5
6,49,0,49,6
7,49,0,49,7
8,49,0,49,8
9,49,0,49,9
10,49,0,49,10
11,49,0,49,11
12,49,0,49,12
13,49,0,49,13
14,49,0,49,14
15,49,0,49,15
16,49,0,49,16
17,49,0,49,17
18,49,0,49,18
19,49,0,49,19
20,49,0,49,20
21,49,0,49,21
22,49,0,49,22
23,49,0,49,23
24,49,0,49,24
25,49,0,49,25
26,49,0,49,26
27,49,0,49,27
28,49,0,49,28
29,49,0,49,29
30,49,0,49,30
31,49,0,49,31
32,49,0,49,32
33,49,0,49,33
34,49,0,49,34
35,49,0,49,35
36,49,0,49,36
37,49,0,49,37
38,49,0,49,38
39,49,0,49,39
40,49,0,49,40
41,49,0,49,41
42,49,0,49,42
43,49,0,49,43
44,49,0,49,44
45,49,0,49,45
46,49,0,49,46
47,49,0,49,47
48,49,0,49,48
49,49,0,49,49
50,49,0,49,50
