Unique Iterations with Uniform Distribution,,,
p,n,m,t
100,5,20,85017
100,5,100,67829
100,5,500,58515
100,10,20,208219
100,10,100,153057
100,10,500,125981
100,15,20,448288
100,15,100,257391
100,15,500,206341
1000,5,20,819032
1000,5,100,686410
1000,5,500,587768
1000,10,20,2053418
1000,10,100,1456296
1000,10,500,1214312
1000,15,20,4108572
1000,15,100,2463805
1000,15,500,1972694
10000,5,20,7876627
10000,5,100,6490328
10000,5,500,5724835
10000,10,20,20865959
10000,10,100,14819085
10000,10,500,12174799
10000,15,20,40157165
10000,15,100,22674070
10000,15,500,15654036
