p,n,m,t
100,5,20,88378
100,5,100,80031
100,5,500,81402
100,10,20,309971
100,10,100,168864
100,10,500,384123
100,15,20,1264845
100,15,100,299151
100,15,500,291882
1000,5,20,886520
1000,5,100,765789
1000,5,500,878860
1000,10,20,2928734
1000,10,100,1616659
1000,10,500,1895595
1000,15,20,11686244
1000,15,100,3463592
1000,15,500,2709388
10000,5,20,8775396
10000,5,100,10248381
10000,5,500,12085335
10000,10,20,35060850
10000,10,100,20666251
10000,10,500,12446172
10000,15,20,111452014
10000,15,100,25310469
10000,15,500,20004239
